Reference,Account Number,Description,Start Balance,Mutation,End Balance
156108,NL69ABNA0433647324,Flowers from Erik de Vries,13.92,-7.25,6.67
112806,NL93ABNA0585619023,Subscription from Rik Theuﬂ,77.29,-23.99,53.3
181631,NL27SNSB0917829871,Tickets for Jan King,60.83,+41.96,102.79
147132,NL56RABO0149876948,Subscription for Richard Dekker,103.65,+2.58,106.23
112806,NL91RABO0315273637,Candy for Willem Theuﬂ,52.21,-33.21,19
112806,NL27SNSB0917829871,Flowers from Erik de Vries,39.9,-42.57,-2.67
134902,NL90ABNA0585647886,Clothes for Willem de Vries,22.2,+33.21,55.41
136329,NL93ABNA0585619023,Clothes from DaniÎl Bakker,81.7,-43.41,38.29
187928,NL43AEGO0773393871,Flowers from Richard Theuﬂ,101.01,-30.45,70.56
163434,NL90ABNA0585647886,Flowers from Jan de Vries,71.87,-16.05,55.82
